date_obj,Jug%20of%20water price
2019-09-03,19
2019-09-04,19
2019-09-05,20
2019-09-06,21
2019-09-07,22
2019-09-08,23
2019-09-09,24
2019-09-10,22
2019-09-11,22
2019-09-12,21
2019-09-13,20
2019-09-14,20
2019-09-15,19
2019-09-16,19
2019-09-17,18
2019-09-18,17
2019-09-19,16
2019-09-20,15
2019-09-21,14
2019-09-22,14
2019-09-23,14
2019-09-24,15
2019-09-25,15
2019-09-26,15
2019-09-27,16
2019-09-28,16
2019-09-29,16
2019-09-30,16
2019-10-01,16
2019-10-02,15
2019-10-03,15
2019-10-04,15
2019-10-05,15
2019-10-06,16
2019-10-07,16
2019-10-08,16
2019-10-09,16
2019-10-10,16
2019-10-11,16
2019-10-12,15
2019-10-13,15
2019-10-14,15
2019-10-15,14
2019-10-16,13
2019-10-17,12
2019-10-18,11
2019-10-19,10
2019-10-20,11
2019-10-21,11
2019-10-22,10
2019-10-23,10
2019-10-24,10
2019-10-25,9
2019-10-26,10
2019-10-27,11
2019-10-28,12
2019-10-29,13
2019-10-30,13
2019-10-31,13
2019-11-01,12
2019-11-02,12
2019-11-03,12
2019-11-04,12
2019-11-05,12
2019-11-06,12
2019-11-07,13
2019-11-08,13
2019-11-09,13
2019-11-10,14
2019-11-11,15
2019-11-12,16
2019-11-13,16
2019-11-14,17
2019-11-15,17
2019-11-16,17
2019-11-17,17
2019-11-18,17
2019-11-19,17
2019-11-20,17
2019-11-21,17
2019-11-22,17
2019-11-23,17
2019-11-24,17
2019-11-25,18
2019-11-26,19
2019-11-27,19
2019-11-28,19
2019-11-29,20
2019-11-30,20
2019-12-01,21
2019-12-02,22
2019-12-03,23
2019-12-04,24
2019-12-05,25
2019-12-06,25
2019-12-07,26
2019-12-08,27
2019-12-09,29
2019-12-10,31
2019-12-11,33
2019-12-12,33
2019-12-13,32
2019-12-14,30
2019-12-15,29
2019-12-16,28
2019-12-17,26
2019-12-18,25
2019-12-19,23
2019-12-20,21
2019-12-21,19
2019-12-22,18
2019-12-23,17
2019-12-24,16
2019-12-25,15
2019-12-26,14
2019-12-27,13
2019-12-28,13
2019-12-29,14
2019-12-30,14
2019-12-31,14
2020-01-01,14
2020-01-02,14
2020-01-03,14
2020-01-04,14
2020-01-05,15
2020-01-06,16
2020-01-07,15
2020-01-08,15
2020-01-09,16
2020-01-10,17
2020-01-11,18
2020-01-12,19
2020-01-13,19
2020-01-14,19
2020-01-15,19
2020-01-16,19
2020-01-17,19
2020-01-18,19
2020-01-19,19
2020-01-20,18
2020-01-21,18
2020-01-22,18
2020-01-23,18
2020-01-24,17
2020-01-25,16
2020-01-26,15
2020-01-27,14
2020-01-28,13
2020-01-29,13
2020-01-30,13
2020-01-31,12
2020-02-01,11
2020-02-02,11
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,11
2020-02-07,12
2020-02-08,12
2020-02-09,13
2020-02-10,14
2020-02-11,15
2020-02-12,16
2020-02-13,17
2020-02-14,17
2020-02-15,16
2020-02-16,15
2020-02-17,14
2020-02-18,13
2020-02-19,12
2020-02-20,12
2020-02-21,13
2020-02-22,14
2020-02-23,15
2020-02-24,16
2020-02-25,16
2020-02-26,17
2020-02-27,17
2020-02-28,17
2020-02-29,18
2020-03-01,19
2020-03-02,20
2020-03-03,21
2020-03-04,21
2020-03-05,21
2020-03-06,21
2020-03-07,20
2020-03-08,19
2020-03-09,18
2020-03-10,17
2020-03-11,16
2020-03-12,15
2020-03-13,14
2020-03-14,14
2020-03-15,13
2020-03-16,12
2020-03-17,11
2020-03-18,11
2020-03-19,11
2020-03-20,10
2020-03-21,10
2020-03-22,10
2020-03-23,11
2020-03-24,11
2020-03-25,11
2020-03-26,12
2020-03-27,12
2020-03-28,13
2020-03-29,14
2020-03-30,15
2020-03-31,15
2020-04-01,15
2020-04-02,16
2020-04-03,17
2020-04-04,18
2020-04-05,19
2020-04-06,20
2020-04-07,21
2020-04-08,23
2020-04-09,25
2020-04-10,27
2020-04-11,29
2020-04-12,31
2020-04-13,33
2020-04-14,35
2020-04-15,37
2020-04-16,39
2020-04-17,41
2020-04-18,44
2020-04-19,47
2020-04-20,50
2020-04-21,53
2020-04-22,56
2020-04-23,59
2020-04-24,62
2020-04-25,66
2020-04-26,69
2020-04-27,67
2020-04-28,64
2020-04-29,60
2020-04-30,57
2020-05-01,55
2020-05-02,53
2020-05-03,50
2020-05-04,48
2020-05-05,46
2020-05-06,45
2020-05-07,43
2020-05-08,41
2020-05-09,39
2020-05-10,39
2020-05-11,41
2020-05-12,44
2020-05-13,47
